Epoch;Training;CV
1;0.15;0.01
2;0.10;0.01
3;0.00;0.00
4;0.00;0.00
5;0.00;0.00
6;0.00;0.00
7;0.00;0.00
8;0.00;0.00
9;0.00;0.00
10;0.00;0.00
11;0.01;0.01
12;0.01;0.01
13;0.00;0.00
14;0.00;0.00
15;0.00;0.00
16;0.01;0.00
17;0.00;0.01
18;0.00;0.02
19;0.01;0.00
20;0.01;0.00
21;0.01;0.01
22;0.01;0.00
23;0.01;0.01
24;0.02;0.01
25;0.02;0.01
26;0.02;0.02
27;0.02;0.02
28;0.02;0.03
29;0.02;0.01
30;0.03;0.01
31;0.03;0.03
32;0.03;0.02
33;0.03;0.02
34;0.02;0.01
35;0.03;0.05
36;0.03;0.02
37;0.03;0.02
38;0.04;0.03
39;0.04;0.08
40;0.04;0.03
