Epoch;Training;CV
1;9.84;3.64
2;6.02;2.72
3;5.48;1.98
4;4.99;1.21
5;4.56;0.67
6;4.19;0.37
7;3.89;0.23
8;3.64;0.16
9;3.41;0.13
10;3.21;0.10
11;3.03;0.12
12;3.17;0.20
13;2.98;0.63
14;2.91;0.46
15;2.79;0.52
16;2.73;0.23
17;2.63;0.88
18;2.59;0.73
19;2.49;0.27
20;2.46;1.33
21;2.33;0.72
22;2.42;0.74
23;2.43;1.31
24;2.52;1.43
25;2.61;1.55
26;2.75;1.78
27;2.92;3.44
28;3.05;3.90
29;3.11;3.61
30;3.02;4.11
31;3.11;4.04
32;2.62;3.59
33;2.61;4.40
34;3.08;5.41
35;2.93;4.21
36;2.77;3.33
37;2.87;4.08
38;2.90;3.85
39;3.01;3.73
40;3.02;3.14
