Epoch;Training;CV
1;90.53;8.55
2;67.20;9.98
3;51.68;11.46
4;41.06;12.95
5;33.76;14.02
6;28.47;14.61
7;24.58;14.90
8;21.75;15.04
9;19.75;15.10
10;18.37;15.14
11;17.39;14.79
12;16.41;14.50
13;17.06;14.47
14;16.95;14.51
15;17.12;14.52
16;17.09;14.34
17;17.03;13.99
18;16.90;14.32
19;16.99;14.83
20;16.71;13.36
21;17.13;14.09
22;16.32;14.06
23;16.15;13.32
24;15.76;13.47
25;15.65;12.12
26;14.43;12.24
27;13.45;9.37
28;12.26;8.81
29;11.79;8.61
30;13.02;10.14
31;11.63;9.62
32;14.92;9.52
33;14.64;6.27
34;11.33;6.42
35;12.42;10.02
36;12.87;10.17
37;12.85;10.53
38;12.40;8.03
39;11.04;9.23
40;10.89;9.58
