Epoch;Training;CV
1;0.40;0.31
2;0.37;0.42
3;0.49;0.56
4;0.63;0.71
5;0.78;0.84
6;0.88;0.91
7;0.93;0.94
8;0.95;0.96
9;0.97;0.97
10;0.97;0.98
11;0.97;0.89
12;0.88;0.92
13;0.92;0.88
14;0.88;0.87
15;0.89;0.95
16;0.88;0.91
17;0.88;0.81
18;0.87;0.88
19;0.86;0.92
20;0.85;0.80
21;0.89;0.85
22;0.82;0.85
23;0.79;0.82
24;0.73;0.73
25;0.70;0.70
26;0.57;0.57
27;0.48;0.35
28;0.39;0.34
29;0.35;0.38
30;0.44;0.39
31;0.34;0.39
32;0.62;0.51
33;0.59;0.13
34;0.32;0.18
35;0.41;0.50
36;0.44;0.34
37;0.45;0.47
38;0.42;0.26
39;0.31;0.48
40;0.31;0.36
